"","repo_id","parent_id","full_name","counter","percentage","ALL","X0.75","X0.5","X0.25","X1.Commit"
"66",421829,"1958","gscheibel/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"67",547776,"1958","mgencur/infinispan","10",1,"Social","Social","Social","Social","Social"
"68",557198,"1958","alesj/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"69",558106,"1958","belaban/infinispan","0",0,"Hard","Hard","Hard","Hard","Hard"
"70",690503,"1958","andyuk1986/infinispan","3",1,"Social","Social","Social","Social","Social"
"71",690505,"1958","kevinpollet/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"72",737087,"1958","an1310/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"73",820518,"1958","navssurtani/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"74",1025831,"1958","normanmaurer/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"75",1042502,"1958","gustavonalle/infinispan","272",1,"Social","Social","Social","Social","Social"
"76",1427922,"1958","BrentDouglas/infinispan","0",0,"Hard","Hard","Hard","Hard","Hard"
"77",1427958,"1958","mlinhard/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"78",1427966,"1958","scottmarlow/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"79",1875976,"1958","julia-wei/infinispan","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"80",2914535,"1958","rvansa/infinispan","211",1,"Social","Social","Social","Social","Social"
"81",3557945,"1958","didona/infinispan","13",1,"Social","Social","Social","Social","Social"
"82",3699449,"1958","rpelisse/infinispan","4",1,"Social","Social","Social","Social","Social"
"83",4617484,"1958","otrack/Leads-infinispan","0",0,"Hard","Hard","Hard","Hard","Hard"
"84",4783143,"1958","alanfx/infinispan","5",1,"Social","Social","Social","Social","Social"
"85",4946791,"1958","Holmistr/infinispan","6",1,"Social","Social","Social","Social","Social"
"86",5458072,"1958","jmarkos/infinispan","9",1,"Social","Social","Social","Social","Social"
"87",6714334,"1958","vjuranek/infinispan","42",1,"Social","Social","Social","Social","Social"
"88",7790134,"1958","Cotton-Ben/infinispan","0",0,"Hard","Hard","Hard","Hard","Hard"
