repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,commit_count,activityDensity,densitybins,new_jaccard,median_age,median_commits,activity,activity_direction,activity_slope,activity_new_ALL
108239323,14807988,1,NULL,NULL,0,276,0,0,0,2,2,0,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.028985507,4,0,841,43,Short-Low,Positive,0.882181578,Dead?
108650020,7295625,1,NULL,NULL,0,272,0,0,0,2,1,0,0,202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.033088235,3,0.279069767,1064,62,Short-Low,Positive,0.562479841,Dead?
108796086,14807988,1,NULL,NULL,0,270,0,0,0,2,2,0,0,0,0,9,0,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0.159259259,2,0.309859155,841,43,Short-Low,Positive,0.882181578,Dead?
109162420,17991525,1,NULL,NULL,0,267,0,1,0,2,1,0,0,202,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.033707865,3,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
109562004,45297,1,NULL,NULL,0,263,0,0,0,2,1,0,0,202,7,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.129277567,3,0,752,23,Short-Heavy,Positive,0.748281629,Dead?
109912104,14807988,1,NULL,NULL,0,260,0,0,0,2,1,0,0,202,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003846154,6,0.070652174,841,43,Short-Low,Positive,0.882181578,Dead?
109923581,14807988,1,NULL,NULL,0,687,1,0,0,3,3,0,5,226,0,22,0,174,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0.358078603,2,0.049450549,841,43,Short-Heavy,Positive,0.882181578,Dead?
110390045,14807988,1,NULL,NULL,0,256,0,0,0,2,2,0,14,21,0,4,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.15234375,2,0.165,841,43,Short-Low,Positive,0.882181578,Dead?
110772075,13350226,1,NULL,NULL,0,252,0,0,0,2,1,0,0,202,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.023809524,4,0,647,7,Short-Low,Positive,0.1624238,Dead?
111069608,14807988,1,NULL,NULL,0,249,0,0,0,2,2,0,0,204,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.040160643,3,0,841,43,Short-Low,Positive,0.882181578,Dead?
111588349,17991525,1,NULL,NULL,0,245,0,0,0,3,3,0,31,2076,0,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.106122449,3,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
111749220,15138,1,NULL,NULL,0,243,0,0,0,2,1,0,0,202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.028806584,4,0.192307692,780.5,17.5,Short-Low,Negative,0.358233391,Dead?
112632557,17991525,1,NULL,NULL,0,235,1,0,0,2,1,0,10,133,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.017021277,4,0,843,8,Short-Low,Positive,0.252978138,Dead?
112716220,17991525,1,NULL,NULL,0,234,0,1,0,2,1,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.05982906,3,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
112904295,7295625,1,NULL,NULL,0,233,0,0,0,2,1,0,0,202,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.021459227,4,0.102564103,1064,62,Short-Low,Positive,0.562479841,Dead?
113241089,45297,1,NULL,NULL,0,229,0,0,0,2,2,0,2,38,0,4,0,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.122270742,3,0,752,23,Short-Heavy,Positive,0.748281629,Dead?
113565516,14897549,1,NULL,NULL,0,227,0,0,0,4,3,0,4,255,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.101321586,3,0,780,9,Short-Heavy,Positive,0.531618391,Dead?
113716055,17991525,1,NULL,NULL,0,226,1,0,0,2,1,0,0,204,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.101769912,3,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
113771192,14807988,1,NULL,NULL,0,225,0,0,0,3,2,0,37,84,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.2,2,0.102150538,841,43,Short-Heavy,Positive,0.882181578,Dead?
