repo_id,age,new_jaccard,commit_count,K,,repo_id,age,new_jaccard,commit_count,K,,,Cluster #,Count,Age,Commits,Jaccard Distance
7790134,1942,0.977679,107,0,,109510971,264,0.068966,6,1,,,,,,,
11179922,1765,0.975556,27,0,,109997839,260,0,5,1,,,,,,,
11695653,1730,0.938731,585,0,,110401266,256,0.068966,2,1,,,,,,,
12645588,1695,0.964286,29,0,,115945906,206,0.052632,1,1,,,,,,,
22693558,1787,0.960177,7,0,,116265257,203,0.052632,5,1,,,,,,,
29096790,1286,0.956236,44,0,,119047440,178,0.035088,8,1,,,,,,,
46630288,978,0.909091,2,0,,134568598,29,0,27,1,,,,,,,
47533435,969,0.949451,6,0,,135149869,70,0,4,1,,,,,,,
58689463,820,0.938731,557,0,,6091462,2044,0,243,1,,,,,,,
60779035,796,0.938731,3,0,,8786233,1895,0.125,9,1,,,,,,,
91713993,443,0.909091,4,0,,48575316,1156,0.125,3,1,,,,,,,
44309,2492,0.814815,3,0,,48855185,954,0,18,1,,,,,,,
245622,1270,0.810811,48,0,,68929680,695,0.125,19,1,,,,,,,
542894,2271,0.785714,140,0,,72348455,653,0,11,1,,,,,,,
1798125,2496,0.814815,8,0,,104526632,2044,0,81,1,,,,,,,
1799726,2401,0.785714,11,0,,106540243,294,0.125,3,1,,,,,,,
1868568,2357,0.785714,17,0,,801238,963,0.419355,8,1,,,,,,,
2001118,2332,0.15,164,0,,3938143,2192,0,128,1,,,,,,,
2625846,1998,0.15,26,0,,4868661,2122,0,65,1,,,,,,,
3509010,2223,0.785714,9,0,,8026859,1928,0,957,1,,,,,,,
5577470,2063,0.307692,8,0,,10844837,1553,0,147,1,,,,,,,
17870394,1799,0.45,13,0,,14999189,1555,0,418,1,,,,,,,
24109305,1377,0.810811,9,0,,19125621,1501,0,130,1,,,,,,,
51056927,925,0.810811,10,0,,20775635,1460,0,187,1,,,,,,,
79536808,572,0.777778,7,0,,21628120,1438,0.275862,9,1,,,,,,,
246363,2654,0.666667,33,0,,39028485,1083,0.419355,14,1,,,,,,,
369898,2478,0,26,0,,39385487,1079,0.419355,2,1,,,,,,,
832567,3511,0.666667,3,0,,46570417,979,0.419355,28,1,,,,,,,
1789844,2997,0.666667,2,0,,53655514,883,0,2,1,,,,,,,
1790335,3506,0.666667,42,0,,26465531,1338,0,7,1,,,,,,,
3584343,2218,0.695652,44,0,,67713843,710,0,144,1,,,,,,,
9957909,1839,0.73913,111,0,,70167206,680,0,193,1,,,,,,,
13835169,1822,0.222222,176,0,,73272053,641,0.416667,5,1,,,,,,,
29878800,1265,0.928571,100,0,,91127586,448,0,100,1,,,,,,,
38876712,1086,0.619048,4,0,,104167420,319,0,5,1,,,,,,,
44174437,1011,0.619048,4,0,,112566506,236,0,26,1,,,,,,,
85510715,2705,0.684211,3,0,,114331876,220,0,35,1,,,,,,,
7134,2494,0.793651,8,0,,120648538,164,0.333333,3,1,,,,,,,
7164,2495,0.793651,50,0,,124365862,125,0,35,1,,,,,,,
1738573,3324,1,21,0,,128748645,83,0.25,3,1,,,,,,,
1738629,2412,0.870968,103,0,,128904970,82,0.25,22,1,,,,,,,
3281686,2339,0.793651,8,0,,129600351,74,0.25,3,1,,,,,,,
3633345,2284,0.671875,161,0,,130437437,66,0,29,1,,,,,,,
3748789,2207,0.815385,7,0,,131071064,60,0.733333,6,1,,,,,,,
5212023,1787,0.609375,22,0,,135287942,22,0,6,1,,,,,,,
13655348,1633,0.354839,41,0,,843441,2112,0,28,1,,,,,,,
15641071,1585,0.578125,31,0,,5621095,2061,0,18,1,,,,,,,
31701633,1215,0.911392,125,0,,53587004,886,0,8,1,,,,,,,
34542996,1151,0.52381,14,0,,70554205,675,0,1402,1,,,,,,,
45651169,991,0.467742,5,0,,103454886,326,0,1,1,,,,,,,
48354235,960,0.707692,35,0,,106701044,292,0.192308,78,1,,,,,,,
48354236,1443,0.707692,26,0,,111749220,243,0.192308,7,1,,,,,,,
61657416,786,0.910256,2,0,,126926799,100,0,20,1,,,,,,,
66644566,1347,0.354839,12,0,,130302235,67,0,5,1,,,,,,,
77328633,597,0.79661,12,0,,20525077,1466,0,10,1,,,,,,,
61909,2796,0.25,104,0,,40336299,1422,0,8,1,,,,,,,
859440,2547,0.333333,17,0,,40981489,1054,0,2,1,,,,,,,
1329932,2396,0.333333,11,0,,44868752,1002,0,3,1,,,,,,,
1415478,1662,0.333333,12,0,,49422173,946,0,4,1,,,,,,,
1652351,2367,0.25,14,0,,50046538,938,0,4,1,,,,,,,
1874496,2354,0.125,16,0,,52627733,899,0,5,1,,,,,,,
2594581,3006,0.5,28,0,,57759899,830,0,1,1,,,,,,,
2733196,2292,0.3,68,0,,58045789,827,0.4375,1,1,,,,,,,
2740012,2313,0.333333,6,0,,60397604,799,0.316667,2,1,,,,,,,
5747084,2057,0.125,6,0,,61573818,787,0.305085,2,1,,,,,,,
7763782,3007,0.125,10,0,,62228764,779,0,3,1,,,,,,,
9244906,1872,0.5,29,0,,63901739,759,0.492537,16,1,,,,,,,
11781474,1726,0.333333,10,0,,64691248,750,0.12963,1,1,,,,,,,
12335,2824,0.625,38,0,,64716710,749,0,1,1,,,,,,,
83243,2895,0.25,1323,0,,69285344,690,0,104,1,,,,,,,
89935,2876,0,836,0,,70976195,670,0,2,1,,,,,,,
131888,3025,0,301,0,,71362308,665,0,1,1,,,,,,,
214103,2872,0.483871,216,0,,71494136,663,0.305085,2,1,,,,,,,
256172,2651,0.774194,35,0,,72217594,654,0.160714,5,1,,,,,,,
270060,2703,0.774194,2,0,,72646210,649,0,73,1,,,,,,,
274025,2749,0.575758,20,0,,72715382,648,0.09434,93,1,,,,,,,
297131,2645,0.774194,2,0,,72972616,645,0,141,1,,,,,,,
305224,2614,0.774194,115,0,,73828478,1667,0,201,1,,,,,,,
320218,2611,0.774194,2,0,,75485032,615,0.588235,3,1,,,,,,,
342336,2704,0.774194,11,0,,75590104,614,0.316667,64,1,,,,,,,
450699,1449,0.575758,5,0,,80529951,562,0.544118,1,1,,,,,,,
482848,2504,0.774194,5,0,,80620058,561,0,18,1,,,,,,,
489263,2495,0,78,0,,81459277,551,0,2,1,,,,,,,
640884,2427,0.178571,9,0,,82931651,1131,0,1,1,,,,,,,
964623,2697,0.774194,80,0,,83063229,535,0.588235,26,1,,,,,,,
964639,2878,0.774194,28,0,,83955093,522,0.4375,1,1,,,,,,,
1263628,2551,0.419355,70,0,,84055667,521,0,12,1,,,,,,,
1419979,2411,0,104,0,,84381355,516,0.305085,2,1,,,,,,,
1472531,1741,0.419355,149,0,,85845857,500,0.617647,1,1,,,,,,,
1676114,2364,0.575758,11,0,,85956599,499,0.617647,1,1,,,,,,,
1758120,2378,0.709677,86,0,,86317879,495,0,2,1,,,,,,,
