full_name,repo_id,All,70%,90%,30%
AwesomePowered/Essentials,119993233,Hard,Social,Social,Social
danberindei/infinispan,1128600,Social,Social,Social,Social
gcallant/Contigo,86951498,Hard,Hard,Hard,Hard
mmarkus/infinispan,1222756,Hard,Social,Social,Social
MaxComse/mapfish-print,73158108,Hard,Social,Social,Social
tsykora/infinispan,5109030,Social,Social,Social,Social
anistor/infinispan,4410456,Social,Social,Social,Social
raymondchooi/react-native,74060114,Hard,Hard,Hard,Social
galderz/infinispan,1864151,Hard,Social,Social,Social
satishd/kafka,52782583,Social,Social,Social,Social
pruivo/infinispan,3626075,Social,Social,Social,Social
Sanne/infinispan,1091951,Social,Social,Social,Social
maniksurtani/infinispan,1053727,Social,Social,Social,Social
jarvisluong/react-native,161494701,Hard,Social,Social,Social
wburns/infinispan,2681545,Social,Social,Social,Social
andyuk1986/infinispan,7019980,Social,Social,Social,Social
tristantarrant/infinispan,2035565,Social,Social,Social,Social
eclipse/smarthome,15778981,Parent,Parent,Parent,Parent
pmuir/infinispan,1278088,Social,Social,Social,Social
mycelium-com/bitcoincashj,114354584,Hard,Hard,Hard,Hard
justinhayes/infinispan,2820022,Social,Social,Social,Social
zohar-pm/flink,82048085,Hard,Social,Social,Social
vblagoje/infinispan,1066183,Hard,Social,Social,Social
jkpr/collect-fixed,41040822,Hard,Social,Social,Social
luksa/infinispan,2526652,Social,Social,Social,Social
doubleencore/PagerSlidingTabStrip,12464664,Hard,Hard,Hard,Hard
dvanbalen/infinispan,3211372,Social,Social,Social,Social
dianewalls/Hygieia,46889899,Hard,Social,Social,Social
gscheibel/infinispan,5481231,Social,Social,Social,Social
verygoodsecurity/aws-maven,86745421,Hard,Hard,Hard,Hard
mgencur/infinispan,1831439,Social,Social,Social,Social
harelba/kafka,151786911,Social,Social,Social,Social
alesj/infinispan,1051250,Social,Social,Social,Social
kayalardanmehmet/android-times-square,141703175,Hard,Hard,Hard,Hard
belaban/infinispan,1434787,Hard,Social,Social,Social
rotscher/flyway,7731721,Social,Social,Social,Social
jixuan1989/YCSB,27856972,Hard,Hard,Hard,Social
ghys/openhab2-addons,89790726,Hard,Social,Social,Social
ddrscott/ActiveAndroid,9305107,Hard,Hard,Hard,Social
risdenk/YCSB,29561420,Social,Social,Social,Social
criteo-forks/camus,36810412,Social,Social,Social,Social
