full_name,repo_id,All,70%,90%,30%
1ambda/zeppelin,66360806,Social,Social,Social,Social
deeXW/dubbo,103351581,Hard,Social,Social,Social
SantaGitHub/Thermos,106923710,Social,Social,Social,Social
MarkHsiu/dubbo,103922607,Hard,Social,Social,Social
pratikmjoshi/collect,84739196,Hard,Social,Social,Social
wufengbin/dubbo,104535443,Social,Social,Social,Social
yanghongkjxy/dubbo,104642755,Hard,Social,Social,Social
hqq2023623/dubbo,113030978,Hard,Social,Social,Social
MatthieuLemoine/react-native,176783081,Social,Social,Social,Social
kingyoungfan/dubbo,76526543,Hard,Social,Social,Social
ortutay/phoenix,127481298,Social,Social,Social,Social
plx927/dubbo,55864063,Hard,Social,Social,Social
julman99/retrofit,12816161,Hard,Social,Social,Social
karl7/dubbo,111695020,Social,Social,Social,Social
szpak/reactor-core,145247520,Social,Social,Social,Social
tswstarplanet/dubbo,165711680,Hard,Social,Social,Social
jsjchai/dubbo,192884273,Hard,Social,Social,Social
AlanFoster/react-native,100703695,Social,Social,Social,Social
leyou240/dubbo,114162391,Hard,Social,Social,Social
callstack/react-native,185787793,Social,Social,Social,Social
liuqunqun215/dubbo,114656962,Social,Social,Social,Social
mohammedsabi/react-native,81200910,Hard,Social,Social,Social
SimenB/react-native,165504876,Social,Social,Hard,Social
kirayunfei/dubbo,115496399,Hard,Social,Social,Social
dynamicleap/cameraview,84969960,Hard,Hard,Hard,Hard
liuxuehai/dubbo,115903309,Hard,Social,Social,Social
TerryJayChan/dubbo,117778478,Hard,Social,Social,Social
burunduk/XposedInstaller,74790906,Social,Social,Social,Social
bbfking/dubbo,117921918,Hard,Social,Social,Social
guillermocalvo/RxJava,166730727,Social,Social,Social,Social
synpore/dubbo,118388509,Social,Social,Social,Social
remerge/camus,23038849,Hard,Hard,Hard,Social
ralf0131/dubbo,119020526,Social,Social,Social,Social
linyinpeng1989/dubbo,232231544,Social,Social,Social,Social
cmanlh/dubbo,119766598,Hard,Social,Social,Social
newhinton/Flym,152611544,Hard,Social,Social,Social
macostea/sonar-objective-c,84177475,Social,Social,Social,Social
misshka/red5-server,88142678,Hard,Hard,Hard,Hard
nikosev/OpenID-Connect-Java-Spring-Server,98979715,Social,Social,Social,Social
SurveyMonkey/Hygieia,40667296,Social,Social,Social,Social
z529192557/dubbo,201579754,Hard,Social,Social,Social
TheIcyOne/ArsMagica2,79254676,Hard,Hard,Hard,Hard
aishgosavi/OpenID-Connect-Java-Spring-Server,119882010,Hard,Social,Social,Social
stratosphere/flink,29467508,Social,Social,Social,Social
yuhui0531/dubbo,121343072,Hard,Social,Social,Social
SDRC-India/collect,74006501,Hard,Social,Social,Social
Sangeeta19/OpenID-Connect-Java-Spring-Server,122493523,Hard,Social,Social,Social
zhuchaowe/react-native,46704281,Hard,Social,Social,Social
J-N-K/openhab2-addons,75407544,Hard,Social,Social,Social
mobilcom-debitel/OpenID-Connect-Java-Spring-Server,131993811,Hard,Hard,Hard,Hard
hovox/react-native,117998859,Hard,Social,Social,Social
youbeiwuhuan/dubbo,124320762,Hard,Social,Social,Social
MethDamon/bitcoinj,183003943,Social,Social,Social,Social
gresham-computing/openid-connect-server,119415886,Social,Social,Social,Social
shawncrosby/openhab2-addons,85206831,Social,Social,Social,Social
AndyXMB/openhab2-addons,97126806,Hard,Social,Social,Social
kabiliravi/OpenID-Connect-Java-Spring-Server,148564009,Hard,Hard,Hard,Hard
rocky-zh/dubbo,23305983,Hard,Social,Social,Social
Sroka/RxJava,94323677,Hard,Social,Social,Social
square/retrofit,892275,Parent,Parent,Parent,Parent
gostech/collect,54319381,Hard,Social,Social,Social
diecui1202/dubbo,125145570,Social,Social,Social,Social
airbnb/native-navigation,68399597,Parent,Parent,Parent,Parent
dpolishuk/retrofit,6751023,Social,Social,Social,Social
Bhoos/react-native,94966778,Hard,Social,Social,Social
mitreid-connect/OpenID-Connect-Java-Spring-Server,2681994,Parent,Parent,Parent,Parent
frantic/react-native,33323218,Hard,Social,Social,Social
thorinside/retrofit,7100796,Hard,Social,Social,Social
stateofzhao/iosched,34379022,Hard,Hard,Hard,Hard
mtderryberry/OpenID-Connect-Java-Spring-Server,4445126,Social,Social,Social,Social
siralam/CameraViewPlus,114060601,Hard,Hard,Hard,Hard
sberan/retrofit,8803066,Social,Social,Social,Social
ywongweb/react-native,105059504,Hard,Social,Social,Social
jmandel/OpenID-Connect-Java-Spring-Server,10236674,Hard,Social,Social,Social
gnlpfjh/openhab2-addons,170501542,Social,Social,Social,Social
Couchsurfing/retrofit,9633820,Hard,Social,Social,Social
MeetYouAndroid/react-native,87758706,Hard,Social,Social,Social
akudan/OpenID-Connect-Java-Spring-Server,18770713,Social,Social,Social,Social
cmccabe/kafka,74628042,Social,Social,Social,Social
CMU-313/retrofit,12657019,Hard,Social,Social,Social
nitin1706/Hygieia,113363612,Hard,Social,Social,Social
smart-on-fhir/auth-server,20343902,Hard,Hard,Hard,Hard
GingerBear/react-native,32943064,Social,Social,Social,Social
woltere/OpenID-Connect-Java-Spring-Server,22497045,Social,Social,Social,Social
minahlee/zeppelin,33116265,Social,Social,Social,Social
Dealermade/retrofit,29404705,Hard,Social,Social,Social
skatun/openhab2-addons,146274628,Social,Social,Social,Social
jamesagnew/OpenID-Connect-Java-Spring-Server,22685840,Hard,Social,Social,Social
caschomburg123/react-native,83223359,Social,Social,Social,Social
sarvex/retrofit,32570104,Hard,Social,Social,Social
skylot/jadx,8859474,Parent,Parent,Parent,Parent
praseodym/OpenID-Connect-Java-Spring-Server,35238797,Social,Social,Social,Social
mhilbush/openhab2-addons,65158647,Social,Social,Social,Social
NightlyNexus/retrofit,35349496,Social,Social,Social,Social
orta/react-native,33207430,Social,Social,Social,Social
puneetjaiswal/OpenID-Connect-Java-Spring-Server,21404233,Hard,Social,Social,Social
airbnb/retrofit,34024143,Hard,Social,Social,Social
mveitas/metrics,9089876,Social,Social,Social,Social
juazugas/OpenID-Connect-Java-Spring-Server,60178823,Hard,Social,Social,Social
siddhantsoni/react-native,120897753,Social,Social,Social,Social
juliendn/retrofit,38313455,Hard,Social,Social,Social
indigo-iam/OpenID-Connect-Java-Spring-Server,60007281,Social,Social,Social,Social
humbertojuliao3/react-native,100375294,Hard,Social,Social,Social
Rffsilva/flyway,103399888,Hard,Social,Social,Social
BlueRiverInteractive/retrofit,45698108,Social,Social,Social,Social
gitxueluo/pinpoint,131956104,Hard,Social,Hard,Social
shimo-react-native/react-native,109545508,Social,Social,Social,Social
andrewshilliday/openhab2-addons,74626851,Social,Social,Social,Social
BiaoWu/retrofit,67097692,Hard,Social,Social,Social
SIRSteiner/Flym,162754649,Social,Social,Social,Social
llkkzz111/retrofit,65885694,Hard,Social,Social,Social
static-max/flink,74409807,Social,Social,Social,Social
Jawnnypoo/retrofit,194899841,Social,Social,Social,Social
mouyang/spring-batch,19132613,Social,Social,Social,Social
guptasourabh/retrofit,82414363,Social,Social,Social,Social
msteigenberger/openhab2-addons,88350542,Social,Social,Social,Social
GulajavaMinistudio/retrofit,85517528,Hard,Hard,Hard,Hard
chourobin/react-native,87241050,Social,Social,Social,Social
albrecht87/retrofit,93566896,Social,Social,Social,Social
creativehothouse/glide,90238091,Hard,Social,Social,Social
JSpiner/retrofit,96950839,Hard,Social,Social,Social
zenreach/Priam,56937670,Hard,Social,Social,Social
xiaofan-wxf/retrofit,110909835,Hard,Social,Social,Social
joeflack4/collect-fixed,69047380,Social,Social,Social,Social
DiffBlue-benchmarks/retrofit,110975084,Hard,Social,Social,Social
wv1124/react-native,59822519,Hard,Hard,Hard,Social
fiissh/retrofit,138844642,Hard,Social,Social,Social
ShenJack/collect,122334447,Social,Social,Social,Social
pivotal-vladimir/kotlin,101932794,Hard,Social,Social,Social
CTKnight/retrofit,148281394,Hard,Social,Social,Social
famake3/openhab2-addons,50784644,Hard,Social,Social,Social
berberman/retrofit,152103913,Hard,Social,Social,Social
foundation-for-environmental-monitoring/ffem-collect,134242123,Hard,Hard,Hard,Hard
ojh102/retrofit,162570237,Social,Social,Social,Social
vitorhugods/retrofit,166834415,Hard,Social,Social,Social
66254264/retrofit,171197946,Hard,Social,Social,Social
JiMu-Bao/retrofit,138242688,Social,Social,Social,Social
hliuav/Line-chatbot-for-COMP3111,109001086,Social,Social,Social,Social
Netflix/Priam,2079469,Parent,Parent,Parent,Parent
vilchev/eclipse-smarthome,36233901,Social,Social,Social,Social
quidryan/Priam,5289500,Hard,Social,Social,Social
CodingSpiderFox/Flym,143063508,Hard,Social,Social,Social
bazaarvoice/Priam,5205908,Hard,Hard,Hard,Hard
Scuilion/swagger-doclet,86243870,Hard,Hard,Hard,Hard
mmunna/Priam,5403070,Hard,Social,Social,Social
codingcatgirl/EventFahrplan,115226437,Social,Social,Social,Social
Knewton/Priam,4798236,Hard,Social,Social,Social
309746069/react-native,37251911,Hard,Social,Social,Social
BrightTag/Priam,3911783,Hard,Social,Social,Social
jeromebanks/camus,18893473,Hard,Social,Social,Social
jasobrown/Priam,5571306,Hard,Social,Social,Social
ibaton/openhab2-addons,65582584,Social,Social,Social,Social
sagarl/Priam,6300879,Hard,Social,Social,Social
rshrubb/openhab2-addons,175180431,Social,Social,Social,Social
timiblossom/Priam,8946675,Social,Social,Social,Social
MaxGraey/react-native,79479826,Hard,Social,Social,Social
webedx-spark/Priam,12881805,Social,Social,Social,Social
tulumvinh/Priam,141628246,Hard,Social,Social,Social
ProfHugo/ArsMagica2,81289260,Social,Social,Social,Social
naturalatlas/react-native,46676222,Hard,Social,Social,Social
vinaykumarchella/Priam,40680885,Hard,Social,Social,Social
johnma14/kafka,87463978,Social,Social,Social,Social
PunKeel/BungeeCord,52832817,Hard,Social,Social,Social
matepeter90/Priam,66081487,Hard,Social,Social,Social
sgdc3/DragonProxy,129704349,Hard,Hard,Hard,Hard
zmarois/Priam,109027592,Hard,Social,Social,Social
Bakalexis/BungeeCord,241769156,Social,Social,Social,Social
Crash--/react-native,42574800,Hard,Social,Social,Social
zmyer/Priam,139099937,Hard,Social,Social,Social
combatgears/cameraview,135539702,Hard,Hard,Hard,Hard
cthumuluru/Priam,186759444,Social,Social,Social,Social
heisluft/Glowstone,166586790,Social,Social,Social,Social
JetBrains/kotlin,3432266,Parent,Parent,Parent,Parent
SgrAlpha/metrics,148431012,Hard,Social,Social,Social
udalov/kotlin,4547341,Social,Social,Hard,Social
goodwinnk/kotlin,4075568,Hard,Social,Social,Social
magrinj/react-native,145709721,Social,Social,Social,Social
tepamid/react-native,65885203,Hard,Social,Social,Social
wiltonlazary/kotlin,15626903,Hard,Social,Social,Social
cypark1/zeppelin,162410274,Social,Social,Social,Social
JakeWharton/kotlin,99388807,Hard,Social,Social,Social
Rabbit-Inc/react-native,113901382,Hard,Social,Social,Social
shiraji/kotlin,62323288,Social,Social,Social,Social
deadsurgeon42/Thermos,86841979,Hard,Hard,Hard,Hard
semoro/kotlin,62848471,Hard,Social,Social,Social
sunjincheng121/flink,70389886,Social,Social,Social,Social
devbridie/kotlin,66218539,Hard,Social,Social,Social
chainfailure/viacoinj,133850206,Social,Social,Social,Social
calexHG/kotlin,144453245,Social,Social,Social,Social
gregaou/react-native,151397257,Hard,Social,Social,Social
qwwdfsad/kotlin,116984154,Hard,Social,Social,Social
Klarrio/kafka,86320073,Hard,Social,Social,Social
JLLeitschuh/kotlin,84114490,Social,Social,Hard,Social
TheUnnamedDude/BungeeCord,13861811,Hard,Social,Social,Social
gzoritchak/kotlin,90998502,Social,Social,Social,Social
casidiablo/flink,111680350,Social,Social,Social,Social
GulajavaMinistudio/kotlin,91745025,Hard,Social,Social,Social
soenkeliebau/kafka,52431626,Social,Social,Social,Social
google/ExoPlayer,20818126,Parent,Parent,Parent,Parent
t-kameyama/kotlin,93002825,Social,Social,Social,Social
staa99/collect,125562245,Hard,Social,Social,Social
AndroidKotlinID/kotlin,96653633,Hard,Social,Social,Social
GantMan/react-native,53519287,Social,Social,Hard,Social
AlanCowap/kotlin,103923996,Hard,Social,Social,Social
littlesome/react-native,68373173,Social,Social,Social,Social
ltongues/kotlin,106330335,Hard,Hard,Social,Social
artem-zinnatullin/RxJava,31721317,Hard,Social,Social,Social
Megamiun/kotlin,106507156,Hard,Social,Social,Social
stevenschlansker/kafka,80865004,Social,Social,Social,Social
DeveloperHacker/kotlin,107582672,Hard,Social,Social,Social
marcoblos/pinpoint,76655813,Social,Social,Social,Social
educhastenier/kotlin,115005108,Hard,Social,Social,Social
HoverEpic/DragonProxy,109507266,Hard,Hard,Hard,Hard
arniesaha/plaid,109407507,Social,Social,Social,Social
cuihtlauac/kotlin,117116472,Social,Social,Social,Social
kubawolanin/openhab2-addons,74052488,Hard,Social,Social,Social
joshallenit/kotlin,121826842,Hard,Social,Social,Social
andreyfomenkov/kotlin,121746795,Hard,Social,Social,Social
elifarley/kotlin,123468606,Hard,Social,Social,Social
fg123/kotlin,123625722,Hard,Social,Social,Social
juan-chen/kotlin,128808851,Social,Social,Social,Social
laesunk/zeppelin,68780167,Hard,Social,Social,Social
negator/kotlin,154984770,Hard,Social,Social,Social
kabili207/smarthome,74384252,Social,Social,Social,Social
Schahen/kotlin,155405665,Social,Social,Social,Social
Stratehm/openhab2,29732779,Social,Social,Social,Social
rpuxa/kotlin,156434055,Hard,Social,Social,Social
MazaCoin/mazacoinj-new,24512041,Hard,Social,Social,Social
tianchaohongyu/kotlin,156792002,Hard,Social,Social,Social
ting-yuan/kotlin,158618880,Social,Social,Social,Social
madsager/kotlin,160532687,Social,Social,Social,Social
xinxiangbobby/pinpoint,150951842,Hard,Social,Social,Social
denisgaebler/kotlin,161629367,Social,Social,Social,Social
ACINQ/bitcoinj,96194077,Social,Social,Social,Social
PugaBear/LWC,81026636,Hard,Hard,Hard,Hard
maplesteve/openhab2-addons,90678705,Social,Social,Social,Social
apache/kafka,2211243,Parent,Parent,Parent,Parent
CanonicalLtd/react-native,64276762,Parent,Parent,Parent,Parent
ContextLogic/flink,137945785,Social,Social,Social,Social
miguno/kafka,8747931,Social,Social,Social,Social
hww3/openhab2-addons,128243361,Social,Social,Social,Social
darionyaphet/kafka,49433317,Social,Social,Social,Social
leverdeterre/sonar-objective-c,73832936,Hard,Social,Social,Social
stealthly/kafka,20645231,Hard,Social,Social,Social
ReddytoRumble/Hygieia,109733086,Hard,Social,Social,Social
airbnb/kafka,65494827,Social,Social,Social,Social
tbrannt/bitcoinj,72782005,Hard,Social,Social,Social
superseriouscompany/react-native,71641054,Hard,Social,Social,Social
sslavic/kafka,18512796,Social,Social,Social,Social
apprennet/react-native,43336435,Social,Social,Social,Social
harshach/kafka,18655234,Hard,Social,Social,Social
edoardocomar/kafka,53959119,Social,Social,Social,Social
CDAGaming/Thermos,101589471,Hard,Social,Social,Social
rnpridgeon/kafka,94198947,Hard,Social,Social,Social
PeakApps/PA-react-native,47687861,Hard,Social,Social,Social
hsun-cnnxty/kafka,54806055,Social,Social,Social,Social
ronal2do/react-native,150699523,Hard,Social,Social,Social
slaunay/kafka,55433512,Social,Social,Social,Social
dnobel/openhab2,26835823,Social,Social,Social,Social
imandhan/kafka,56535444,Social,Social,Social,Social
kgibilterra/Hygieia,39896441,Social,Social,Social,Social
norwood/kafka,55249246,Social,Social,Social,Social
manicakes/react-native,64856326,Social,Social,Social,Social
NoilPaw/react-native,81948287,Social,Social,Social,Social
cotedm/kafka,51319402,Hard,Social,Social,Social
tgoldenberg/react-native,71959849,Hard,Social,Social,Social
bharatviswa504/kafka,57098397,Social,Social,Social,Social
SJoWie80/openhab2-addons,76277776,Hard,Social,Social,Social
aartigupta/kafka,59973805,Hard,Social,Social,Social
selmanon/RxJava,98096936,Hard,Social,Social,Social
jimjag/kafka,63180504,Hard,Hard,Hard,Hard
hyl1987419/vtm,23411352,Hard,Social,Social,Social
waldosCH/jmxtrans,125080757,Hard,Social,Social,Social
rekhajoshm/kafka,31181048,Hard,Social,Social,Social
Vampouille/mapfish-print,47825703,Social,Social,Social,Social
mapr/kafka,52052210,Social,Social,Social,Social
astenlund74/openhab2-addons,92211754,Hard,Social,Social,Social
coveord/zeppelin,106041050,Social,Social,Social,Social
wangzzu/kafka,59170459,Hard,Social,Social,Social
granthenke/kafka,31473093,Social,Social,Social,Social
devSC/iosched,144943253,Hard,Social,Social,Social
PierreCoquentin/kafka,81060472,Social,Social,Social,Social
reyem/openhab2-addons,90562264,Social,Social,Social,Social
ijuma/kafka,32646946,Hard,Social,Social,Social
Dirk68/openhab2-addons,170573116,Social,Social,Social,Social
radai-rosenblatt/kafka,64683013,Hard,Social,Social,Social
tackk/react-native,46444930,Hard,Social,Social,Social
Parth-Brahmbhatt/kafka,34346413,Hard,Social,Social,Social
leonardortlima/RxJava,92994424,Social,Social,Social,Social
wiyu/kafka,65768652,Social,Social,Social,Social
flaviolivolsi/react-native,104359237,Social,Social,Social,Social
spotify/kafka,34663548,Hard,Social,Social,Social
apurvam/kafka,69067896,Social,Social,Social,Social
wary/zeppelin,86351531,Hard,Social,Social,Social
confluentinc/kafka,37555321,Hard,Hard,Hard,Hard
arrawatia/kafka,63554311,Hard,Social,Social,Social
SandroMachado/react-native,72251586,Social,Social,Social,Social
hachikuji/kafka,35842084,Hard,Social,Social,Social
xuelgong/react-native,162338439,Social,Social,Social,Social
kkonstantine/kafka,66110287,Hard,Hard,Hard,Social
tsjing/react-native,82679834,Social,Social,Social,Social
heroku/kafka,37473317,Social,Social,Social,Social
trabian/react-native,46517955,Social,Social,Social,Social
klarna/kafka,67210368,Social,Social,Social,Social
jaywalklabs/react-native,91072595,Social,Social,Social,Social
becketqin/kafka,21048134,Hard,Social,Social,Social
kolpacheque/ExoPlayer,146606507,Hard,Social,Social,Social
markus2810/openhab2-addons,160861606,Social,Social,Social,Social
onurkaraman/kafka,39984426,Social,Social,Social,Social
drummerwolli/flink,155619245,Social,Social,Social,Social
michaelandrepearce/kafka,86737717,Social,Social,Social,Social
prabcs/kafka,63190596,Hard,Social,Social,Social
guozhangwang/kafka,39164613,Social,Social,Social,Social
Beetrack/ActiveAndroid,84953343,Hard,Hard,Hard,Hard
lukezaparaniuk/kafka,68513073,Social,Social,Social,Social
gquintana/jmxtrans,95589230,Social,Social,Social,Social
dongjinleekr/kafka,69036305,Social,Social,Social,Social
ankon/mgwt,16610160,Hard,Hard,Hard,Hard
fpj/kafka,39900213,Social,Social,Social,Social
dualspiral/GriefPrevention,97946839,Hard,Social,Social,Social
silpamittapalli/kafka,69903359,Social,Social,Social,Social
lentztopher/kafka,53868941,Hard,Social,Social,Social
monzo/cameraview,68928892,Hard,Hard,Hard,Hard
jaikiran/kafka,210765015,Social,Social,Social,Social
paruff/Hygieia,145267614,Hard,Hard,Hard,Hard
valdisrigdon/kafka,70250982,Social,Social,Social,Social
benstopford/kafka,40359697,Social,Social,Social,Social
SergeyChang/kotlin,92953031,Social,Social,Social,Social
allenxiang/kafka,222948677,Hard,Social,Social,Social
NilsEngelbach/incubator-flink,25295520,Social,Social,Social,Social
rajinisivaram/kafka,42296329,Social,Social,Social,Social
Microsoft/react-native,140759707,Hard,Social,Social,Social
dpoldrugo/kafka,70987606,Social,Social,Social,Social
Ceees2/GriefPrevention,83593928,Hard,Social,Social,Social
rhauch/kafka,40898643,Social,Social,Social,Social
janicduplessis/react-native,33167181,Hard,Social,Social,Social
raghavgautam/kafka,43394799,Hard,Social,Social,Social
martel/metrics,3513650,Hard,Social,Social,Social
enothereska/kafka,44994140,Social,Social,Social,Social
mathieu-lavigne/oasp4j,81960896,Social,Social,Social,Social
astubbs/kafka,71838895,Hard,Social,Social,Social
atfire/phoenix,119433334,Hard,Social,Social,Social
TiVo/kafka,42952606,Hard,Social,Social,Social
laurilehmijoki/react-native,47185732,Hard,Social,Social,Social
ThisisGurwinder/react-native,89878536,Social,Social,Social,Social
bbejeck/kafka,42054236,Social,Social,Social,Social
mresti/devfest-app,25035564,Hard,Hard,Hard,Hard
thijsc/kafka,71880761,Social,Social,Social,Social
TolerableCoder/kafka,120681214,Social,Social,Social,Social
ollie314/kafka,27578733,Social,Social,Social,Social
orta/native-navigation,85070742,Hard,Social,Social,Social
GeoSmith/kafka,71927121,Social,Social,Social,Social
mapsforge/vtm,61207872,Hard,Hard,Hard,Hard
MyPureCloud/kafka,43017689,Social,Social,Social,Social
denisovlev/flink,158420561,Social,Social,Social,Social
xiguantiaozhan/kafka,72437384,Social,Social,Social,Social
80d000/kafka,122408536,Hard,Social,Social,Social
myrjola/react-native,87201027,Hard,Social,Social,Social
husthang/kafka,73286548,Hard,Social,Social,Social
walterddr/flink,96963783,Social,Social,Social,Social
jeqo/kafka,80715060,Social,Social,Social,Social
BrunoVillanova/react-native,119037927,Social,Social,Social,Social
SandeshKarkera/kafka,74440784,Social,Social,Social,Social
dardanbekteshi/Hygieia,141685923,Hard,Social,Social,Social
vahidhashemian/kafka,47428717,Social,Social,Social,Social
JohnLZeller/backend-update-center2,47641699,Social,Social,Social,Social
bowenli86/flink,84355710,Social,Social,Social,Social
xiaotao183/kafka,67509783,Social,Social,Social,Social
ywz2010/react-native,50551689,Social,Social,Social,Social
AnotherFoxGuy/GriefPrevention,144755451,Social,Social,Social,Social
scala212-forks/kafka,76665975,Hard,Social,Social,Social
sghiassy/react-native,46753114,Hard,Social,Social,Social
Altiscale/kafka,22764323,Hard,Social,Social,Social
sobimibos/smarthome,106546304,Hard,Social,Social,Social
smferguson/kafka,88315997,Social,Social,Social,Social
sagarchavan3172/kafka,111236829,Hard,Social,Social,Social
dpkp/kafka,51776143,Social,Social,Social,Social
Neulinet/openhab2,31713378,Hard,Hard,Hard,Social
fossamagna/kafka,76606663,Social,Social,Social,Social
sriksun/kafka,107222644,Hard,Social,Social,Social
mjsax/kafka,50839421,Social,Social,Social,Social
tinder-dthomson/flink,153720574,Social,Social,Social,Social
ivange94/bahmni-core,170817395,Social,Social,Social,Social
dhwanikatagade/kafka,77545705,Social,Social,Social,Social
curscascis/ArsMagica2,99402640,Hard,Hard,Hard,Hard
mimaison/kafka,53746208,Social,Social,Social,Social
AbhishekGupta10004/raxacore,5080406,Hard,Hard,Hard,Social
auroraxlh/kafka,78193247,Social,Social,Social,Social
scott-mitchell/flink,171751841,Social,Social,Social,Social
csatf/react-native,91731266,Hard,Social,Social,Social
nicktrav/kafka,85451162,Social,Social,Social,Social
clinique/smarthome,32462354,Social,Social,Social,Social
wimvanleuven/kafka,85709218,Social,Social,Social,Social
TWiStErRob/glide,23509908,Social,Social,Social,Social
dested/react-native,124328928,Hard,Social,Social,Social
vitaly-pushkar/kafka,86637282,Social,Social,Social,Social
tongcheng-elong/flink,183193676,Social,Social,Social,Social
ouertani/kafka,88627040,Hard,Social,Social,Social
mihbor/kafka,88758965,Social,Social,Social,Social
ChienHsiangLee/line-bot-sdk-java,174768586,Hard,Social,Social,Social
jedichien/kafka,88811476,Hard,Social,Social,Social
Salakar/react-native,180668851,Social,Social,Social,Social
pvyhnal-generalbytes/litecoinj,171318142,Social,Social,Social,Social
uphold-forks/react-native,73433380,Social,Social,Social,Social
andrasbeni/kafka,90849018,Hard,Social,Social,Social
VisheshVadhera/collect,94969140,Social,Social,Social,Social
ambroff/kafka,91857499,Social,Social,Social,Social
smarthi/flink,56618830,Social,Social,Social,Social
subnova/kafka,92159640,Hard,Social,Social,Social
hyleung/RxJava,39538981,Hard,Social,Social,Social
viktorsomogyi/kafka,92505144,Social,Social,Social,Social
lihongliustc/flink,141859831,Social,Social,Social,Social
cognitree/kafka,93048726,Social,Social,Social,Social
dpursehouse/metrics,81200427,Social,Social,Social,Social
huxihx/kafka,89205955,Social,Social,Social,Social
ppatierno/kafka,93742833,Social,Social,Social,Social
utenakr/kafka,93793929,Hard,Social,Social,Social
matzew/kafka,94750781,Social,Social,Social,Social
EventFahrplan/EventFahrplan,91032869,Hard,Hard,Hard,Hard
ox123/kafka,178899772,Hard,Social,Social,Social
wangshao/kafka,123093630,Social,Social,Social,Social
jemaiah/kafka,96052061,Hard,Social,Social,Social
manmedia/kafka,96715562,Hard,Social,Social,Social
Isakdl/react-native,70265263,Social,Social,Social,Social
yussufsh/kafka,96851217,Social,Social,Social,Social
TheNetStriker/smarthome,80153056,Social,Social,Social,Social
gauravkumar37/camus,43085910,Hard,Social,Social,Social
mrsrinivas/kafka,160368310,Social,Social,Social,Social
browniefed/react-native,46645416,Social,Social,Social,Social
abbccdda/kafka,101105392,Social,Social,Hard,Social
ahangarha/Flym,163395997,Social,Social,Social,Social
ConcurrencyPractitioner/kafka,272766484,Social,Social,Social,Social
jasonberanek/metrics,3962266,Hard,Social,Social,Social
tedyu/kafka,234433695,Social,Social,Social,Social
AOS002/collect,145452171,Social,Social,Social,Social
eu657/kafka,104385815,Hard,Social,Social,Social
jdewinne/Hygieia,86386007,Hard,Social,Social,Social
gilles-degols/kafka,105933079,Hard,Social,Social,Social
woodpav/react-native,180642055,Social,Social,Social,Social
DragonetMC/DragonProxy,64472007,Parent,Parent,Parent,Parent
StreethawkNick/react-native,119818540,Hard,Social,Social,Social
farmdawgnation/kafka,107738718,Social,Social,Social,Social
hannesa2/bitcoin-wallet,108181425,Hard,Social,Social,Social
lightbend/kafka,102672221,Social,Social,Social,Social
wicknicks/kafka,110271231,Social,Social,Social,Social
flyway/flyway,7170058,Parent,Parent,Parent,Parent
LSHP/kafka,137144930,Hard,Social,Social,Social
lewie/openhab2,28863417,Social,Social,Social,Social
stanislavkozlovski/kafka,208209602,Social,Social,Social,Social
rtkrruvinskiy/flink,81468097,Social,Social,Social,Social
pas725/kafka,139527263,Hard,Social,Social,Social
khwang0/Line-chatbot-for-COMP3111,97443721,Hard,Hard,Hard,Social
DeuroIO/Deuro-kafka,139766596,Hard,Social,Social,Social
nicktate/react-native,77060521,Social,Social,Social,Social
LLcat1217/kafka,140395025,Social,Social,Hard,Social
clmntcrl/react-native,136604912,Social,Social,Social,Social
JiMu-Bao/kafka,140395025,Social,Social,Hard,Social
banzaicloud/zeppelin,108570483,Social,Social,Social,Social
wishabi/kafka,140615745,Social,Social,Social,Social
Inferno23/RxJava,90268753,Social,Social,Social,Social
chaplinthink/kafka,140942506,Social,Social,Social,Social
zalando-incubator/aws-maven,60073379,Hard,Hard,Hard,Hard
jonathansantilli/kafka,142397126,Social,Social,Social,Social
nguyant/kafka,164169744,Hard,Social,Social,Social
Lincong/kafka,177313021,Hard,Social,Social,Social
chrisjenx/Calligraphy,15328210,Parent,Parent,Parent,Parent
sharad-develop/kafka,80474239,Hard,Social,Social,Social
allengleyzer/react-native,108049203,Social,Social,Social,Social
xiaoxiaogua/kafka,171627765,Social,Social,Social,Social
LLcat1217/jadx,142395708,Social,Social,Social,Social
sumannewton/kafka,146892719,Hard,Social,Social,Social
Satheesh-Balachandran/Hygieia,123393061,Hard,Social,Social,Social
delftswa2017/kafka,82172206,Social,Social,Social,Social
AndroidKotlinID/glide,100998673,Hard,Hard,Hard,Hard
brary/kafka,234705153,Social,Social,Social,Social
bgryszko/react-native,44189907,Hard,Social,Social,Social
C0urante/kafka,83460713,Hard,Social,Social,Social
jacarrichan/pinpoint,81828242,Hard,Social,Social,Social
Captainhzy/kafka,148892666,Hard,Social,Social,Social
kailashhd/flink,110289270,Social,Social,Social,Social
hejiefang/kafka,92167534,Hard,Social,Social,Social
rohit-rehan/Hygieia,160625049,Hard,Social,Social,Social
huangyiminghappy/kafka,149265173,Hard,Social,Social,Social
Uplynk/ExoPlayer,84344800,Hard,Social,Social,Social
ryannedolan/kafka,150479794,Social,Social,Social,Social
dulmandakh/ExoPlayer,99773332,Hard,Social,Social,Social
lmd1993/zeppelin,67309978,Hard,Social,Social,Social
cshuig/kafka,152852391,Hard,Social,Social,Social
yangxi/kafka,190535203,Social,Social,Social,Social
mttkay/RxJava,10742694,Hard,Social,Social,Social
