repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,commit_count,activityDensity,densitybins,new_jaccard,median_age,median_commits,activity,activity_direction,activity_slope
54171459,45297,1,NULL,NULL,0,885,1,0,0,2,2,0,0,205,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.025988700564972,4,0,752,23,Long-Low,Positive,0.748281628504537
54183952,38843634,1,NULL,NULL,0,876,0,0,0,2,1,0,0,202,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002283105022831,6,0.25,876,17,Short-Low,Positive,0.683771571378321
54210397,30777963,1,NULL,NULL,0,876,4,3,0,2,2,0,0,203,0,2,0,257,0,0,4,0,10,1,0,10,1,0,7,0,14,1,1,0,0,0,0,0,0,0,0,1,0,5,0,10,0,1,0,217,0.247716894977169,2,0.976190476190476,834,35,Long-Heavy,Positive,0.282871922906097
54269730,17991525,1,NULL,NULL,0,875,0,0,0,2,1,0,1,249,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.012571428571429,4,0,843,8,Long-Heavy,Positive,0.252978138301902
54281476,7025061,1,54281476,0,1,875,523,43,1,5,2,1,0,2378,10,1,12,2,0,0,4,1,9,1,2,9,0,0,6,0,7,2,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,36,0.041142857142857,3,0,1040.5,7.5,Short-Heavy,Positive,0.077658766284
54360404,17991525,1,NULL,NULL,0,873,0,0,0,2,1,0,0,207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.003436426116838,6,0,843,8,Long-Low,Positive,0.252978138301902
54372550,190,1,NULL,NULL,0,900,1,130,0,2,1,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002222222222222,6,0,1533,19,Short-Low,Positive,0.047789726995952
54394003,43106625,1,NULL,NULL,0,873,1,1,1,2,1,0,0,211,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.033218785796105,3,0,800,6,Long-Heavy,Positive,0.026557404005132
54422668,15921359,1,NULL,NULL,0,873,0,0,0,2,1,0,0,207,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004581901489118,6,0.8,697,4,Long-Low,Positive,0.263629579252905
54469420,2367496,1,NULL,NULL,0,872,0,0,0,2,1,0,0,202,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.012614678899083,4,0,1568.5,10.5,Short-Heavy,Positive,0.048621197419166
54472512,43106625,1,NULL,NULL,0,872,0,0,0,2,2,0,0,283,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001146788990826,6,0.857142857142857,800,6,Long-Low,Positive,0.026557404005132
54504787,30777963,1,NULL,NULL,0,872,0,0,0,2,1,0,0,204,0,1,0,48,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.00802752293578,6,0,834,35,Long-Low,Positive,0.282871922906097
54508940,17991525,1,NULL,NULL,0,872,0,0,0,2,1,0,0,211,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002293577981651,6,0,843,8,Long-Low,Positive,0.252978138301902
54513839,30777963,1,NULL,NULL,0,872,3,1,0,4,4,0,19,431,0,197,0,625,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0.913990825688073,2,0,834,35,Long-Heavy,Positive,0.282871922906097
54533253,18740233,1,NULL,NULL,0,871,0,1,0,3,1,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.032146957520092,3,0.418604651162791,723,23,Long-Heavy,Negative,0.191137944612415
54557791,14807988,1,NULL,NULL,0,871,0,0,0,2,1,0,1,234,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.010332950631458,4,0.643776824034335,841,43,Long-Low,Positive,0.88218157847057
54583842,30777963,1,NULL,NULL,0,871,7,3,0,14,10,3,15,398,0,2,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0.161882893226177,2,0.981132075471698,834,35,Long-Heavy,Positive,0.282871922906097
54590427,30777963,1,NULL,NULL,0,871,0,1,0,3,2,0,0,202,0,1,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.027554535017222,4,0.973684210526316,834,35,Long-Low,Positive,0.282871922906097
54599933,17991525,1,NULL,NULL,0,871,0,0,0,2,1,0,0,213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00459242250287,6,0,843,8,Long-Low,Positive,0.252978138301902
54602861,30777963,1,NULL,NULL,0,871,0,0,0,2,1,0,0,211,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002296211251435,6,0.981132075471698,834,35,Long-Low,Positive,0.282871922906097
54604429,17991525,1,NULL,NULL,0,871,0,0,0,2,1,0,0,208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.006888633754305,6,0,843,8,Long-Low,Positive,0.252978138301902
54608670,14807988,1,NULL,NULL,0,870,0,0,0,2,1,0,0,217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004597701149425,6,0.349514563106796,841,43,Long-Low,Positive,0.88218157847057
54657846,13350226,1,NULL,NULL,0,870,0,0,0,2,1,0,0,211,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.003448275862069,6,0,647,7,Long-Low,Positive,0.162423799649523
54696008,30777963,1,NULL,NULL,0,869,2,8,0,4,4,0,0,211,1,8,0,7,0,0,2,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0.074798619102417,3,0.975,834,35,Long-Heavy,Positive,0.282871922906097
54716379,17991525,1,NULL,NULL,0,869,0,2,0,2,1,0,0,254,0,3,0,20,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.006904487917146,6,0,843,8,Long-Low,Positive,0.252978138301902
54727424,30777963,1,NULL,NULL,0,869,1,0,0,2,1,0,0,202,0,1,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.100115074798619,3,0.973684210526316,834,35,Long-Heavy,Positive,0.282871922906097
54728200,70101,2,NULL,NULL,0,1323,0,0,0,2,1,0,0,202,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.012093726379441,4,0.153846153846154,1980.5,19,Short-Low,Positive,0.303860592388444
54741898,17991525,1,NULL,NULL,0,869,0,0,0,2,2,0,1,259,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.009205983889528,6,0,843,8,Long-Low,Positive,0.252978138301902
54752613,10425739,1,NULL,NULL,0,869,0,0,0,2,1,0,0,202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002301495972382,6,0.666666666666667,951,9,Short-Low,Positive,0.433635598339868
54763393,30777963,1,NULL,NULL,0,869,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.025316455696203,4,0.975,834,35,Long-Low,Positive,0.282871922906097
54764368,30777963,1,NULL,NULL,0,869,0,0,0,2,1,0,0,210,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.013808975834292,4,0.981132075471698,834,35,Long-Low,Positive,0.282871922906097
54903777,30777963,1,NULL,NULL,0,867,0,1,0,4,4,0,15,415,0,3,0,199,0,3,2,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0.147635524798155,2,0.975,834,35,Long-Heavy,Positive,0.282871922906097
54965773,29796617,2,51113994,1,1,866,0,0,0,3,2,0,3,208,2,8,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.061200923787529,3,0.84,527,25,Long-Heavy,Positive,0.518536793021597
54978764,17991525,1,NULL,NULL,0,866,1,0,0,2,1,0,0,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.011547344110855,4,0,843,8,Long-Heavy,Positive,0.252978138301902
54990996,17991525,1,NULL,NULL,0,866,1,2,0,2,0,0,2,87,0,2,0,23,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.011547344110855,4,0,843,8,Long-Heavy,Positive,0.252978138301902
55027326,17991525,1,NULL,NULL,0,865,0,0,0,2,2,0,3,259,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.021965317919075,4,0,843,8,Long-Heavy,Positive,0.252978138301902
55197774,16232,2,NULL,NULL,0,863,0,0,0,2,1,0,0,206,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002317497103129,6,0.912,787,3,Long-Low,Positive,0.064395288279046
55218125,17991525,1,NULL,NULL,0,863,0,1,1,2,2,0,0,202,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004634994206257,6,0,843,8,Long-Low,Positive,0.252978138301902
55232669,17991525,1,NULL,NULL,0,863,0,0,0,4,2,0,5,1077,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.005793742757822,6,0,843,8,Long-Low,Positive,0.252978138301902
55243173,6820392,1,NULL,NULL,0,862,1,0,0,2,1,0,0,203,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001160092807425,6,0.066666666666667,1183,12,Short-Low,Positive,-0.080836702271368
55246406,14807988,1,NULL,NULL,0,862,1,0,0,3,2,0,29,282,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.004640371229698,6,0.341121495327103,841,43,Long-Low,Positive,0.88218157847057
55248283,8941324,1,NULL,NULL,0,1325,0,0,0,2,1,0,0,203,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000754716981132,6,0.75,1542.5,26,Short-Low,Positive,0.117020180488308
55254434,45297,1,NULL,NULL,0,862,0,0,0,2,1,0,0,203,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.002320185614849,6,0.428571428571429,752,23,Long-Low,Positive,0.748281628504537
55280981,38843634,1,NULL,NULL,0,862,0,0,0,3,2,0,14,411,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.009280742459397,6,0.118811881188119,876,17,Short-Low,Positive,0.683771571378321
55304780,17991525,1,NULL,NULL,0,861,0,0,0,2,2,0,5,1076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.003484320557491,6,0,843,8,Long-Low,Positive,0.252978138301902
55340045,30777963,1,NULL,NULL,0,861,2,1,0,2,2,0,0,203,0,3,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0.307781649245064,2,0,834,35,Long-Heavy,Positive,0.282871922906097
55373936,30777963,1,NULL,NULL,0,861,2,6,1,7,7,0,18,457,1,14,0,178,0,0,0,1,2,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,1.07200929152149,1,0,834,35,Long-Heavy,Positive,0.282871922906097
